,id,title,weighted_rating,genre_embedding,keywords_embedding,year
30,16869,Inglourious Basterds,8.184454478908219,"[ 0.02462236 -0.5014115   0.386531    0.78168374 -0.29071456 -0.01707852
  0.49110377 -0.05601856]","[-0.22693714 -0.33055747  0.26231056  0.23168296  0.04069655 -0.4063415
  0.28304225  0.06522088 -0.27343813  0.11058149  0.38681957 -0.06150394
  0.01498268 -0.5204214  -0.02236777  0.0567437   0.04140626 -0.21724188
  0.25633934  0.46686924  0.49782842  0.45298484  0.34879664 -0.10890391
  0.07546129  0.05337888 -0.50565207  0.13693345 -0.03790312 -0.21705431
 -0.00674006  0.2675685 ]",0.8888888888888875
31,70160,The Hunger Games,7.182899347177876,"[ 0.0435767  -0.63273615  0.4046571   0.7857303  -0.27357295 -0.05416553
  0.45618856 -0.1322607 ]","[-0.17699054 -0.54908544  0.24419081  0.25734875  0.13028583 -0.36864746
  0.32787365  0.15847608 -0.3036593   0.11817165  0.42174166 -0.1243135
  0.06380682 -0.47208944  0.03929336  0.02856368  0.04561914 -0.02219022
  0.2096164   0.47614318  0.5785421   0.40657544  0.38958582 -0.08940658
 -0.00618555  0.05439284 -0.41762942  0.02610331 -0.01044628 -0.36227924
 -0.04892658  0.23015293]",0.9126984126984112
32,315635,Spider-Man: Homecoming,7.331753759443825,"[ 0.07591779 -0.5876038   0.39257485  0.8471825  -0.38419753 -0.09698103
  0.46900922 -0.06495591]","[-2.0055372e-01 -6.3169837e-01  3.3459187e-01  6.0401148e-01
  1.6824956e-01 -4.1478008e-01  5.0883442e-01  2.2348134e-01
  5.2864868e-03  1.9016838e-01  6.2629676e-01 -2.5740376e-01
  5.1641557e-02 -6.3100129e-01  1.3490518e-05 -7.7577531e-02
  3.4099692e-01 -1.7286831e-01  2.6932055e-01  7.0002484e-01
  1.0230917e+00  5.6397069e-01  6.7037344e-01 -1.8405265e-01
 -1.6708003e-01  3.4049530e-02 -4.7725555e-01  2.1052824e-02
  2.3042080e-01 -3.8767079e-01 -1.0860486e-01  6.7510438e-01]",0.9523809523809508
33,672,Harry Potter and the Chamber of Secrets,7.700009223870474,"[ 0.05895565 -0.7327358   0.4517333   0.79957795 -0.24421585 -0.07475449
  0.4438942  -0.20937303]","[-0.06444065 -0.4952093   0.2521466   0.30560896  0.16488326 -0.3629885
  0.29942688  0.17274284 -0.14987174  0.08581137  0.39834014 -0.17585365
  0.07800649 -0.45802692  0.05604801  0.05720601  0.02225748 -0.05276529
  0.17221126  0.56959593  0.6820991   0.38091835  0.41041073 -0.11164574
 -0.01715364  0.01776117 -0.35269284 -0.02433255  0.04105476 -0.34083664
 -0.02915184  0.29021695]",0.8333333333333321
34,283995,Guardians of the Galaxy Vol. 2,7.604954084743877,"[ 0.08778477 -0.5948937   0.36260474  0.8192935  -0.3515774  -0.0792584
  0.43743804 -0.09110508]","[ 0.09985349 -0.7958299   0.31961     0.62066936  0.39156795 -0.34008342
  0.49897736  0.32657072  0.16720884  0.06839066  0.5436829  -0.2886068
  0.10538363 -0.5096586   0.21566886 -0.09428731  0.3858586   0.15823847
  0.24850114  0.6970605   1.1676661   0.34164977  0.6212627  -0.13842122
 -0.33237177 -0.20744696 -0.17048506 -0.28693917  0.407319   -0.56961745
 -0.20230941  0.5189984 ]",0.9523809523809508
35,121,The Lord of the Rings: The Two Towers,8.350270645897519,"[ 0.07918943 -0.6827927   0.4201912   0.8220768  -0.31794834 -0.08728131
  0.41137946 -0.17576118]","[-0.11846061 -0.5067456   0.2411463   0.2548109   0.1337673  -0.35755187
  0.3082641   0.13274373 -0.25827876  0.10656361  0.37765145 -0.12847109
  0.09120148 -0.47891536  0.02999661  0.06101646  0.02068488 -0.04331545
  0.17834991  0.5157315   0.5914619   0.4165502   0.3774341  -0.12043077
  0.01160372  0.05416081 -0.42019418  0.02254599 -0.0192586  -0.31188384
 -0.01510906  0.24261023]",0.8333333333333321
36,1771,Captain America: The First Avenger,6.988782859974793,"[ 0.08778477 -0.59489363  0.36260474  0.8192935  -0.3515774  -0.0792584
  0.43743804 -0.09110508]","[-0.10874351 -0.5062673   0.26076394  0.43713373  0.1510666  -0.34679198
  0.38395137  0.15293    -0.07548814  0.10093732  0.46946797 -0.18558519
  0.04448736 -0.5183377   0.03416618 -0.02137966  0.17868087 -0.11775577
  0.22630869  0.5557356   0.7553947   0.4147033   0.4854376  -0.13462651
 -0.09303505  0.00125332 -0.36268884  0.00692513  0.13838564 -0.31919023
 -0.05968302  0.4186604 ]",0.9047619047619033
37,297761,Suicide Squad,5.925200519997192,"[ 0.07918943 -0.6827927   0.4201912   0.8220768  -0.31794834 -0.08728131
  0.4113795  -0.17576118]","[-0.16977131 -0.6119683   0.2688469   0.567998    0.1902309  -0.42845726
  0.44557226  0.17176731 -0.0258361   0.19714554  0.54772437 -0.1893311
  0.09607973 -0.61495274 -0.02743996 -0.09827309  0.34427878 -0.1306013
  0.31852883  0.60518795  0.93790287  0.48344767  0.5796848  -0.17629172
 -0.22017165 -0.06043114 -0.45609465  0.01933101  0.24163236 -0.39910814
 -0.12143632  0.58370584]",0.9444444444444446
38,673,Harry Potter and the Prisoner of Azkaban,7.992443872781286,"[ 0.05895565 -0.7327358   0.4517333   0.79957795 -0.24421585 -0.07475449
  0.4438942  -0.20937303]","[-0.08311313 -0.48096687  0.23757689  0.28017     0.1522635  -0.32924888
  0.28832284  0.16395639 -0.15700947  0.09138278  0.37751445 -0.16731651
  0.07754605 -0.44143522  0.06933463  0.05348795  0.01942359 -0.04466577
  0.16124642  0.5136395   0.62612265  0.36077037  0.39284042 -0.10449351
 -0.01255126  0.02235872 -0.3480403  -0.01218337  0.0266458  -0.32108158
 -0.03714238  0.26964584]",0.849206349206348
39,10195,Thor,6.766421780119641,"[ 0.07918943 -0.6827927   0.4201912   0.8220768  -0.31794834 -0.08728131
  0.41137946 -0.17576118]","[ 0.01910554 -0.50625646  0.21085125  0.41206363  0.22099854 -0.2595215
  0.3367572   0.16871387  0.04865449  0.07320292  0.37713358 -0.20393163
  0.05266444 -0.38233113  0.09265935 -0.03696677  0.22388776  0.01121936
  0.17550205  0.4770229   0.7538781   0.27948037  0.4355863  -0.10756148
 -0.16656974 -0.08830989 -0.20466073 -0.12302151  0.21170793 -0.34658465
 -0.10938697  0.37025392]",0.9047619047619033
